# session_uuid	compaction_events	over_target	at_level_8	both(storm_criterion)
0000000000000000-040a4cf2780940a7_an	30	0	0	0
0000000000000000-1f4bec9b6f67470e_an	1	0	0	0
0000000000000000-27fd2a47a61e4e47_an	1	0	0	0
0000000000000000-2ddd506f3a494b18_an	2	1	2	1
0000000000000000-3d698bd370ac4128_ap	2	0	0	0
0000000000000000-52c44298074d4e7b_an	4	3	3	3
0000000000000000-5600b60010c54cb1_an	0	0	0	0
0000000000000000-5966d52bf1834ea7_an	4	0	0	0
0000000000000000-5e32001dea4e4c76_an	11	0	0	0
0000000000000000-5fccece65e2c4e5c_ap	2	0	0	0
0000000000000000-6ffd3b727ae847bc_an	2	0	0	0
0000000000000000-760e7ff5fa164a83_ap	1	0	0	0
0000000000000000-8236a4a70c8b444c_an	1	0	0	0
0000000000000000-8a54f833396e4d5f_fo	1	0	0	0
0000000000000000-a86be4664d6d4aec_an	1	0	0	0
0000000000000000-a957109ce9fb4306_an	3	0	0	0
0000000000000000-bf61825c1fbb45fc_an	1	0	0	0
0000000000000000-c2180ed2049f4592_an	1	0	0	0
0000000000000000-cbdb7bf135584005_an	1	0	0	0
0000000000000000-d0bd9db3d2444ff6_an	1	0	0	0
0000000000000000-ed402cdcbf02406f_an	1	0	0	0
?	11	0	0	0
?	18	1	2	1
184c7503-6b2a-41aa-aadb-d43511fbc153	0	0	0	0
1ee4a784-6ff2-4d71-94f9-916cdc56fbf1	7	2	0	0
?	2	0	0	0
?	20	3	5	3
?	21	3	5	3
?	22	1	4	1
22df78a2-2b04-420b-8db4-a7896e3db0d7	21	11	10	6
2c930a2b-6962-493d-8fb3-b4a5d519aac4	16	7	11	6
?	31	2	13	2
?	4	0	0	0
45bb3743-13a5-43e3-bd9b-1cee398ab13f	1	0	0	0
4d3bff85-0180-4516-96de-e9df66d5f9b2	14	4	0	0
4e294b23-76e9-4ba1-bc31-1252b04cc76a	0	0	0	0
?	5	0	0	0
521af98d-1005-4bb7-90e1-5c0a7306e061	1	0	0	0
5971952c-cd00-452d-a391-a5a35eb441fa	19	19	19	19
5f24140d-fa97-4541-81f5-1c34a1d71cc6	11	0	0	0
?	6	0	1	0
?	7	0	0	0
71d12e65-040d-417f-a8cb-c7407f48af6a	2	0	0	0
?	8	1	3	1
82579f6f-d888-483d-90d7-872fb9bf8b98	22	22	22	22
829b5867-4eaf-485e-93b0-d09ef22b5094	0	0	0	0
83eeda13-ddf3-46cc-814d-48490955ff40	2	0	0	0
a037d79f-e957-425d-90e5-a372dd5d2af6	2	0	0	0
a14c76b9-9b9f-4b76-9e44-e4c54c131c9d	25	25	25	25
b790851b-5a22-40ff-8d9f-c02364a52f40	15	2	7	2
f42aa377-bd4c-4b1a-a994-583542b4ee66	8	0	0	0
f7ce58e8-d004-40f6-adc4-96b1c49a5a4b	17	3	12	3
-root-val-dw-tdg-oai-03/sessions/000	1	0	0	0
-root-val-dw-tstrip-oai-01/sessions/	1	0	0	0
-root-val-dw-tstrip-oai-02/sessions/	2	0	0	0
-root-val-rr2-s1-oai-02/sessions/000	1	0	0	0
-root-val-s4-oai-terra-high-01/sessi	1	0	0	0
